0.108 0.144965 0.342023 4.37453 -4.65414
0.109 0.149443 0.337263 4.58611 -4.86891
0.11 0.154145 0.332277 4.82162 -5.10774
0.111 0.159096 0.327038 5.08569 -5.37527
0.112 0.164328 0.321515 5.38411 -5.67731
0.113 0.169878 0.315669 5.72417 -6.0212
0.114 0.175793 0.309455 6.115 -6.41611
0.115 0.182129 0.302816 6.56779 -6.87329
0.116 0.188953 0.295684 7.0954 -7.40567
0.117 0.196349 0.287976 7.71027 -8.02575
0.118 0.204405 0.279601 8.41739 -8.73857
0.119 0.213208 0.270474 9.19601 -9.52325
0.12 0.222794 0.260557 9.96249 -10.2958
0.121 0.233068 0.249947 10.5323 -10.8707
0.122 0.243714 0.238962 10.6749 -11.0164
0.123 0.254247 0.228087 10.3171 -10.6592
0.124 0.264237 0.217755 9.62829 -9.96939
0.125 0.273471 0.208181 8.83689 -9.17656
0.126 0.281924 0.199389 8.08115 -8.41961
0.127 0.289662 0.191312 7.41127 -7.74897
0.128 0.296777 0.18386 6.83328 -7.1707
0.129 0.303356 0.176943 6.33749 -6.67505
0.13 0.309475 0.170487 5.91079 -6.24883
0.131 0.315197 0.164427 5.5409 -5.87973
0.132 0.320572 0.158712 5.21756 -5.5574
0.133 0.325644 0.153299 4.93246 -5.27352
0.134 0.330448 0.148154 4.679 -5.02144
0.135 0.335011 0.143247 4.45195 -4.7959
0.136 0.339359 0.138555 4.24711 -4.59269
0.137 0.343512 0.134056 4.06113 -4.40842
0.138 0.347487 0.129733 3.89127 -4.24036
0.139 0.351299 0.12557 3.73531 -4.08627
0.14 0.354961 0.121556 3.59142 -3.94431
0.141 0.358485 0.117678 3.45807 -3.81295
0.142 0.361881 0.113927 3.334 -3.6909
0.143 0.365156 0.110294 3.21812 -3.5771
0.144 0.368319 0.10677 3.10953 -3.47061
0.145 0.371377 0.10335 3.00744 -3.37067
0.146 0.374336 0.100027 2.9112 -3.27659
0.147 0.377201 0.0967952 2.82021 -3.18779
0.148 0.379978 0.0936498 2.73398 -3.10378
0.149 0.382671 0.0905862 2.65207 -3.0241
0.15 0.385284 0.0876003 2.57408 -2.94837
0.151 0.38782 0.0846883 2.4997 -2.87626
0.152 0.390284 0.0818467 2.4286 -2.80745
0.153 0.392678 0.0790724 2.36053 -2.74168
0.154 0.395006 0.0763624 2.29524 -2.6787
0.155 0.39727 0.0737141 2.23253 -2.61832
0.156 0.399472 0.071125 2.17221 -2.56032
0.157 0.401615 0.0685927 2.11409 -2.50454
0.158 0.403701 0.0661152 2.05802 -2.45083
0.159 0.405732 0.0636904 2.00387 -2.39904
0.16 0.407709 0.0613165 1.95151 -2.34904
0.161 0.409635 0.0589918 1.90081 -2.30071
0.162 0.411511 0.0567146 1.85167 -2.25395
0.163 0.413339 0.0544834 1.804 -2.20866
0.164 0.41512 0.0522968 1.75771 -2.16475
0.165 0.416855 0.0501535 1.71271 -2.12214
0.166 0.418545 0.0480521 1.66892 -2.08075
0.167 0.420193 0.0459916 1.62628 -2.0405
0.168 0.421798 0.0439708 1.58473 -2.00135
0.169 0.423363 0.0419886 1.5442 -1.96322
0.17 0.424887 0.040044 1.50464 -1.92606
0.171 0.426372 0.0381361 1.466 -1.88982
0.172 0.427819 0.0362641 1.42822 -1.85445
0.173 0.429229 0.034427 1.39127 -1.8199
0.174 0.430602 0.032624 1.3551 -1.78614
0.175 0.43194 0.0308544 1.31968 -1.75312
0.176 0.433242 0.0291175 1.28497 -1.72081
0.177 0.43451 0.0274126 1.25092 -1.68918
0.178 0.435744 0.025739 1.21753 -1.65818
0.179 0.436945 0.024096 1.18474 -1.6278
0.18 0.438114 0.0224832 1.15253 -1.598
0.181 0.43925 0.0208998 1.12089 -1.56875
0.182 0.440356 0.0193455 1.08977 -1.54003
0.183 0.44143 0.0178196 1.05916 -1.51182
0.184 0.442474 0.0163217 1.02904 -1.4841
0.185 0.443488 0.0148512 0.999384 -1.45684
0.186 0.444473 0.0134079 0.970171 -1.43002
0.187 0.445429 0.0119911 0.941383 -1.40362
0.188 0.446356 0.0106005 0.913003 -1.37762
0.189 0.447255 0.0092357 0.885013 -1.35202
0.19 0.448126 0.00789632 0.857397 -1.32678
0.191 0.44897 0.00658201 0.830139 -1.3019
0.192 0.449786 0.0052924 0.803225 -1.27737
0.193 0.450576 0.00402717 0.776641 -1.25315
0.194 0.45134 0.00278599 0.750373 -1.22925
0.195 0.452077 0.00156856 0.724408 -1.20565
